epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.91706,1.02332,1.63443,1.18402,0.81056,0.33099,0.63585,0.40776,1.06904,1.92782,1.13073,0.000548721,0.000548721,0.000548721
2,14.7101,1.07271,1.12634,1.19565,0.71337,0.62621,0.67928,0.41596,1.18907,1.22973,1.26763,0.0011022,0.0011022,0.0011022
3,21.3914,1.09903,1.08732,1.22296,0.70232,0.61451,0.65253,0.39232,1.20971,1.2813,1.27506,0.00165348,0.00165348,0.00165348
4,27.9299,1.11213,1.02452,1.21654,0.7265,0.65572,0.70883,0.43081,1.20977,1.16306,1.27735,0.0016571,0.0016571,0.0016571
5,34.3974,1.0616,0.94742,1.19354,0.81534,0.73754,0.78854,0.50296,1.06147,0.88646,1.1707,0.0016538,0.0016538,0.0016538
6,40.9468,1.0568,0.91623,1.1966,0.71108,0.65814,0.67832,0.4205,1.16101,1.09814,1.24567,0.0016505,0.0016505,0.0016505
7,48.0203,1.03038,0.85992,1.18033,0.83326,0.72099,0.78309,0.49228,1.09649,0.96534,1.19053,0.0016472,0.0016472,0.0016472
8,54.7249,1.02266,0.83894,1.17724,0.84769,0.71555,0.78491,0.50275,1.07382,0.8489,1.17039,0.0016439,0.0016439,0.0016439
9,61.5619,1.00709,0.81783,1.16492,0.88363,0.7291,0.79858,0.51227,1.06934,0.8217,1.18918,0.00164059,0.00164059,0.00164059
10,68.1722,0.9987,0.79563,1.14912,0.88524,0.73286,0.81338,0.52328,1.0129,0.79444,1.11578,0.00163729,0.00163729,0.00163729
11,74.8121,0.99433,0.78769,1.15203,0.85383,0.77715,0.81973,0.52817,1.00209,0.7599,1.10959,0.00163399,0.00163399,0.00163399
12,81.7011,0.98289,0.76294,1.14612,0.85761,0.74125,0.80541,0.51311,1.04835,0.82067,1.15283,0.00163069,0.00163069,0.00163069
13,88.1881,0.94897,0.72719,1.12523,0.82855,0.75712,0.79581,0.54543,0.97574,0.79277,1.12062,0.00162739,0.00162739,0.00162739
14,95.0329,0.95004,0.73339,1.12829,0.87158,0.75596,0.81306,0.53727,1.00278,0.76643,1.14803,0.00162409,0.00162409,0.00162409
15,101.724,0.95568,0.72398,1.13402,0.89772,0.72858,0.81237,0.5605,0.96131,0.7216,1.08006,0.00162079,0.00162079,0.00162079
16,108.256,0.94393,0.72097,1.13279,0.89212,0.75662,0.83589,0.57175,0.96368,0.68399,1.10294,0.00161749,0.00161749,0.00161749
17,114.946,0.92401,0.69852,1.1149,0.90073,0.75752,0.82437,0.55743,0.95999,0.68091,1.09054,0.00161419,0.00161419,0.00161419
18,121.324,0.93716,0.70553,1.12417,0.90432,0.73658,0.82095,0.55773,0.94469,0.6901,1.08562,0.00161089,0.00161089,0.00161089
19,128.248,0.9036,0.67966,1.098,0.89067,0.77433,0.83011,0.56968,0.93959,0.65863,1.07622,0.00160759,0.00160759,0.00160759
20,134.844,0.90689,0.66853,1.10154,0.91183,0.7632,0.83861,0.57804,0.93193,0.70982,1.0737,0.00160429,0.00160429,0.00160429
21,141.337,0.90898,0.6815,1.11129,0.91727,0.75792,0.83178,0.57009,0.95184,0.66285,1.08448,0.00160099,0.00160099,0.00160099
22,148.049,0.90354,0.66337,1.10344,0.92881,0.73003,0.83121,0.58633,0.91274,0.65415,1.07015,0.00159769,0.00159769,0.00159769
23,154.968,0.90018,0.66688,1.10432,0.90131,0.77276,0.85048,0.60037,0.88447,0.64065,1.05274,0.00159439,0.00159439,0.00159439
24,161.391,0.88886,0.65655,1.08918,0.91451,0.77071,0.84436,0.58307,0.91711,0.65181,1.06051,0.00159108,0.00159108,0.00159108
25,168.101,0.88942,0.65241,1.09344,0.88952,0.77271,0.8418,0.59251,0.8813,0.63021,1.0482,0.00158778,0.00158778,0.00158778
26,174.718,0.87587,0.63787,1.08796,0.88854,0.80899,0.85465,0.59778,0.86993,0.60177,1.0327,0.00158448,0.00158448,0.00158448
27,181.375,0.88264,0.63871,1.09784,0.91115,0.76834,0.84835,0.58799,0.88689,0.61882,1.05746,0.00158118,0.00158118,0.00158118
28,188.001,0.87628,0.62829,1.08065,0.86726,0.76592,0.84024,0.58724,0.90605,0.65637,1.06968,0.00157788,0.00157788,0.00157788
29,194.702,0.8627,0.61872,1.07011,0.89278,0.76004,0.83491,0.57334,0.93431,0.70478,1.07659,0.00157458,0.00157458,0.00157458
30,201.352,0.85932,0.62324,1.07761,0.90936,0.76794,0.84252,0.58774,0.90629,0.62425,1.07333,0.00157128,0.00157128,0.00157128
31,207.932,0.87056,0.62504,1.07875,0.9142,0.7761,0.85453,0.60224,0.88647,0.61586,1.05829,0.00156798,0.00156798,0.00156798
32,214.67,0.85524,0.61186,1.07211,0.90482,0.78342,0.84683,0.58856,0.89875,0.62015,1.0666,0.00156468,0.00156468,0.00156468
33,221.185,0.85008,0.59982,1.06717,0.92426,0.76932,0.85925,0.61389,0.86318,0.58194,1.03229,0.00156138,0.00156138,0.00156138
