epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,280.165,0.81473,0.56594,1.04519,0.9282,0.78439,0.86014,0.62042,0.8495,0.57122,1.03144,0.00144145,0.00144145,0.00144145
43,286.827,0.80919,0.56979,1.04728,0.9233,0.7883,0.85534,0.61579,0.86036,0.56827,1.02621,0.00143595,0.00143595,0.00143595
44,293.343,0.81279,0.56289,1.05548,0.90328,0.79282,0.85588,0.61576,0.86195,0.56842,1.03753,0.00143045,0.00143045,0.00143045
45,300.001,0.80131,0.57013,1.04388,0.91795,0.79169,0.86305,0.62121,0.83684,0.55701,1.01027,0.00142495,0.00142495,0.00142495
46,306.531,0.79937,0.54788,1.03998,0.89108,0.80699,0.86115,0.61561,0.85674,0.55347,1.03388,0.00141945,0.00141945,0.00141945
47,313.159,0.7923,0.55132,1.04064,0.91655,0.79854,0.8682,0.61956,0.84658,0.5626,1.00622,0.00141395,0.00141395,0.00141395
48,319.95,0.7953,0.55723,1.04095,0.91283,0.78989,0.86039,0.61515,0.83804,0.55908,1.00606,0.00140845,0.00140845,0.00140845
49,326.557,0.79399,0.54661,1.0348,0.92426,0.78311,0.86814,0.62355,0.85305,0.56435,1.03656,0.00140295,0.00140295,0.00140295
50,333.264,0.7756,0.53908,1.03201,0.90091,0.79785,0.85689,0.62004,0.84387,0.55197,1.02413,0.00139745,0.00139745,0.00139745
51,339.889,0.77787,0.54498,1.03449,0.91447,0.79038,0.8602,0.62411,0.83167,0.56752,1.00949,0.00139195,0.00139195,0.00139195
52,347.087,0.78712,0.54219,1.03135,0.91196,0.79013,0.85722,0.61639,0.84706,0.57061,1.01842,0.00138644,0.00138644,0.00138644
53,353.72,0.79043,0.54172,1.03641,0.92286,0.78731,0.86425,0.63073,0.84101,0.54646,1.02045,0.00138094,0.00138094,0.00138094
54,360.472,0.79144,0.54255,1.03772,0.88353,0.80572,0.86135,0.62347,0.82997,0.55164,1.0186,0.00137544,0.00137544,0.00137544
55,367.3,0.78707,0.53776,1.03145,0.90205,0.80274,0.87223,0.62771,0.85388,0.55019,1.02184,0.00136994,0.00136994,0.00136994
56,373.947,0.7777,0.52684,1.02489,0.92466,0.7943,0.87196,0.64046,0.80914,0.53376,1.00147,0.00136444,0.00136444,0.00136444
57,380.41,0.75898,0.52491,1.02474,0.89934,0.80029,0.86201,0.62061,0.85367,0.54406,1.03073,0.00135894,0.00135894,0.00135894
58,386.922,0.77922,0.53003,1.02523,0.92652,0.78916,0.86402,0.61526,0.86323,0.54929,1.03414,0.00135344,0.00135344,0.00135344
59,393.563,0.77425,0.52724,1.02725,0.91211,0.80088,0.86947,0.62883,0.83904,0.53894,1.01587,0.00134794,0.00134794,0.00134794
60,400.178,0.75437,0.513,1.0224,0.91948,0.80267,0.8699,0.63365,0.85373,0.53523,1.02014,0.00134244,0.00134244,0.00134244
61,406.8,0.75615,0.51206,1.01405,0.92626,0.79132,0.85804,0.62413,0.83452,0.52997,1.00963,0.00133693,0.00133693,0.00133693
62,413.383,0.75675,0.51354,1.01634,0.93061,0.80212,0.8734,0.64445,0.81503,0.5172,1.0051,0.00133143,0.00133143,0.00133143
63,419.81,0.75366,0.50886,1.00834,0.92025,0.80157,0.87346,0.63076,0.85582,0.54124,1.03074,0.00132593,0.00132593,0.00132593
64,426.387,0.74023,0.5003,1.01074,0.92213,0.79185,0.86684,0.60697,0.88231,0.56402,1.02967,0.00132043,0.00132043,0.00132043
65,432.987,0.76134,0.50956,1.00891,0.90314,0.80778,0.86727,0.63547,0.81588,0.52342,1.01427,0.00131493,0.00131493,0.00131493
66,439.542,0.75518,0.50295,1.01221,0.91929,0.81092,0.8728,0.62745,0.82415,0.5213,1.01343,0.00130943,0.00130943,0.00130943
67,446.084,0.7498,0.50605,1.00604,0.90041,0.79798,0.86399,0.62016,0.83876,0.57165,1.01727,0.00130393,0.00130393,0.00130393
68,452.701,0.73575,0.50434,1.01136,0.93237,0.80391,0.87473,0.64073,0.81479,0.50868,0.99894,0.00129843,0.00129843,0.00129843
