epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1306,1.16004,2.21276,1.43787,0.74154,0.36105,0.64149,0.39013,1.20366,2.21616,1.37765,0.000548721,0.000548721,0.000548721
2,32.895,1.1563,1.56173,1.38698,0.64603,0.68113,0.69824,0.39877,1.36878,1.61203,1.46352,0.0011022,0.0011022,0.0011022
3,48.4266,1.1746,1.4266,1.41787,0.6466,0.6053,0.64298,0.36478,1.37239,1.84224,1.58937,0.00165348,0.00165348,0.00165348
4,63.8523,1.1673,1.23939,1.39663,0.76292,0.66557,0.76946,0.46424,1.29832,1.30987,1.42915,0.0016571,0.0016571,0.0016571
5,79.1413,1.12323,1.10975,1.38005,0.78654,0.74153,0.79828,0.49952,1.23061,1.05027,1.35152,0.0016538,0.0016538,0.0016538
6,94.5475,1.13984,1.05979,1.39094,0.7439,0.64868,0.73226,0.45772,1.30795,1.30707,1.46135,0.0016505,0.0016505,0.0016505
7,110.147,1.11093,0.98096,1.3702,0.85182,0.72079,0.81363,0.48613,1.23815,1.04696,1.34069,0.0016472,0.0016472,0.0016472
8,125.585,1.08286,0.93064,1.33668,0.80803,0.77156,0.82538,0.52035,1.18489,1.05951,1.34582,0.0016439,0.0016439,0.0016439
9,141.096,1.06331,0.88991,1.32129,0.8293,0.72317,0.81762,0.53792,1.17363,0.96486,1.33918,0.00164059,0.00164059,0.00164059
10,156.458,1.06304,0.86953,1.31539,0.85173,0.75207,0.84843,0.54438,1.17752,0.87336,1.28472,0.00163729,0.00163729,0.00163729
11,172.2,1.0299,0.84157,1.30222,0.8861,0.76778,0.84911,0.54415,1.13422,0.89152,1.27194,0.00163399,0.00163399,0.00163399
12,187.737,1.02708,0.82913,1.29559,0.88946,0.76937,0.86112,0.56507,1.11576,0.8371,1.25903,0.00163069,0.00163069,0.00163069
13,203.442,0.99186,0.78189,1.27412,0.82442,0.79212,0.85666,0.56969,1.09397,0.92496,1.25672,0.00162739,0.00162739,0.00162739
14,219.169,1.00173,0.79417,1.27713,0.86191,0.73918,0.83437,0.54655,1.16833,0.90827,1.30251,0.00162409,0.00162409,0.00162409
15,234.756,0.99873,0.77803,1.2785,0.86109,0.81773,0.87892,0.59068,1.06574,0.78542,1.24251,0.00162079,0.00162079,0.00162079
16,250.03,0.98173,0.76127,1.26923,0.84312,0.81951,0.87724,0.58463,1.0795,0.77912,1.24366,0.00161749,0.00161749,0.00161749
17,265.283,0.98153,0.75791,1.26758,0.85586,0.79216,0.87197,0.59555,1.049,0.76459,1.22386,0.00161419,0.00161419,0.00161419
18,280.611,0.96402,0.74701,1.25362,0.88037,0.79624,0.87888,0.59105,1.07031,0.77751,1.22502,0.00161089,0.00161089,0.00161089
19,295.822,0.95043,0.72181,1.24095,0.85048,0.80749,0.86889,0.58135,1.055,0.77693,1.23607,0.00160759,0.00160759,0.00160759
20,311.291,0.97386,0.74873,1.25925,0.85898,0.8071,0.8736,0.58051,1.06813,0.8068,1.22711,0.00160429,0.00160429,0.00160429
21,326.481,0.96521,0.74493,1.25429,0.90646,0.80483,0.89654,0.59889,1.06395,0.72132,1.21353,0.00160099,0.00160099,0.00160099
22,341.871,0.93611,0.70836,1.23548,0.87219,0.79837,0.86945,0.5907,1.03668,0.72641,1.20931,0.00159769,0.00159769,0.00159769
23,357.254,0.93513,0.70535,1.22849,0.89397,0.81603,0.88675,0.59347,1.04114,0.74182,1.20279,0.00159439,0.00159439,0.00159439
24,372.607,0.91709,0.67526,1.20859,0.86455,0.83177,0.89541,0.61667,1.0108,0.69623,1.18775,0.00159108,0.00159108,0.00159108
25,387.913,0.92187,0.68124,1.21834,0.86621,0.81756,0.88725,0.61144,1.00905,0.73643,1.18029,0.00158778,0.00158778,0.00158778
26,403.27,0.91677,0.68029,1.21066,0.85171,0.81773,0.87773,0.6,1.01567,0.71721,1.18846,0.00158448,0.00158448,0.00158448
27,418.716,0.92747,0.68722,1.22196,0.8721,0.81494,0.88803,0.59654,1.0568,0.74031,1.23646,0.00158118,0.00158118,0.00158118
28,433.934,0.89977,0.64825,1.19561,0.89684,0.80541,0.89814,0.62207,1.00543,0.67479,1.18594,0.00157788,0.00157788,0.00157788
29,449.464,0.89133,0.64528,1.18961,0.8951,0.80162,0.88361,0.60214,1.01471,0.71411,1.1954,0.00157458,0.00157458,0.00157458
30,465.075,0.89307,0.64152,1.1957,0.89001,0.8294,0.89331,0.61373,1.00799,0.66892,1.19278,0.00157128,0.00157128,0.00157128
31,480.505,0.88937,0.64453,1.19962,0.87834,0.83637,0.90533,0.63449,0.98105,0.66831,1.17552,0.00156798,0.00156798,0.00156798
32,495.814,0.87713,0.62716,1.18322,0.89722,0.81017,0.89289,0.61129,1.03881,0.67799,1.2079,0.00156468,0.00156468,0.00156468
33,511.215,0.88717,0.63408,1.18644,0.88101,0.85447,0.89905,0.61751,0.99212,0.64648,1.16559,0.00156138,0.00156138,0.00156138
34,526.385,0.87713,0.63876,1.19156,0.89149,0.8349,0.90183,0.63093,0.99311,0.64126,1.17733,0.00155808,0.00155808,0.00155808
35,541.648,0.86746,0.62361,1.17519,0.90777,0.82611,0.89041,0.62382,0.98578,0.64935,1.17612,0.00155478,0.00155478,0.00155478
36,557.13,0.87331,0.62957,1.17534,0.86671,0.81094,0.87159,0.60226,1.0353,0.72791,1.19654,0.00155148,0.00155148,0.00155148
37,572.352,0.8607,0.61744,1.16652,0.89154,0.80791,0.89594,0.62377,0.97484,0.66633,1.15072,0.00154818,0.00154818,0.00154818
38,587.715,0.85111,0.60787,1.15836,0.87322,0.86064,0.91208,0.63537,0.96097,0.62219,1.14787,0.00154488,0.00154488,0.00154488
39,603.116,0.8489,0.59225,1.15423,0.86715,0.86541,0.91428,0.64283,0.96878,0.60863,1.15006,0.00154157,0.00154157,0.00154157
40,618.458,0.84518,0.60428,1.16593,0.88961,0.82481,0.89706,0.63792,0.97603,0.63649,1.14294,0.00153827,0.00153827,0.00153827
41,633.643,0.83637,0.58416,1.15573,0.92517,0.82795,0.90781,0.63762,0.96474,0.61753,1.14544,0.00153497,0.00153497,0.00153497
42,648.907,0.85036,0.59813,1.16474,0.87555,0.83063,0.89379,0.63695,0.97531,0.65253,1.15603,0.00153167,0.00153167,0.00153167
43,664.137,0.8367,0.59823,1.1528,0.90872,0.837,0.90773,0.63495,0.96752,0.64071,1.1581,0.00152837,0.00152837,0.00152837
44,679.373,0.8463,0.60135,1.15684,0.89424,0.84087,0.90177,0.6298,0.98338,0.63164,1.16964,0.00152507,0.00152507,0.00152507
45,694.603,0.83764,0.59712,1.15638,0.9106,0.83752,0.89898,0.62822,0.98166,0.63263,1.16154,0.00152177,0.00152177,0.00152177
46,709.929,0.82611,0.56888,1.14092,0.89517,0.86067,0.91993,0.65399,0.92837,0.58404,1.10406,0.00151847,0.00151847,0.00151847
47,725.264,0.81694,0.57546,1.14111,0.88429,0.85318,0.91923,0.64918,0.94704,0.62772,1.12591,0.00151517,0.00151517,0.00151517
48,740.62,0.822,0.57565,1.14242,0.91983,0.81769,0.899,0.63789,0.95444,0.61996,1.14809,0.00151187,0.00151187,0.00151187
49,755.904,0.81863,0.56844,1.14552,0.91025,0.84169,0.91193,0.63777,0.94664,0.59191,1.13637,0.00150857,0.00150857,0.00150857
50,771.089,0.81708,0.56454,1.14704,0.90919,0.84056,0.90766,0.63537,0.98082,0.6098,1.14854,0.00150527,0.00150527,0.00150527
51,786.29,0.81367,0.56438,1.13235,0.90758,0.84105,0.91279,0.65136,0.94966,0.60342,1.13501,0.00150197,0.00150197,0.00150197
52,801.707,0.80452,0.55765,1.12619,0.92629,0.83182,0.90889,0.64543,0.93718,0.61579,1.11293,0.00149867,0.00149867,0.00149867
53,816.937,0.81556,0.56355,1.13008,0.85635,0.84604,0.88601,0.61155,1.00995,0.65488,1.17843,0.00149537,0.00149537,0.00149537
54,832.176,0.80476,0.55254,1.12708,0.90475,0.83668,0.90683,0.64482,0.95103,0.60259,1.12779,0.00149207,0.00149207,0.00149207
55,847.469,0.79243,0.53565,1.11432,0.93011,0.8337,0.90938,0.64416,0.95491,0.60231,1.13579,0.00148876,0.00148876,0.00148876
56,862.64,0.7882,0.53869,1.10883,0.92028,0.85727,0.91701,0.65019,0.94141,0.58556,1.12087,0.00148546,0.00148546,0.00148546
57,877.875,0.77997,0.53458,1.11479,0.89445,0.8599,0.91273,0.63771,0.98438,0.62358,1.15411,0.00148216,0.00148216,0.00148216
58,893.146,0.80288,0.54596,1.12299,0.93244,0.83802,0.91662,0.64828,0.9237,0.58684,1.13394,0.00147886,0.00147886,0.00147886
59,908.426,0.79366,0.54218,1.12283,0.89144,0.85128,0.91049,0.6448,0.95359,0.59776,1.14541,0.00147556,0.00147556,0.00147556
60,923.588,0.78883,0.53248,1.12311,0.91883,0.84276,0.91714,0.64633,0.94421,0.58025,1.11297,0.00147226,0.00147226,0.00147226
61,938.913,0.77821,0.53631,1.10416,0.89154,0.86698,0.91859,0.65269,0.94853,0.57262,1.11581,0.00146896,0.00146896,0.00146896
62,954.265,0.76901,0.52691,1.10033,0.90308,0.86538,0.91894,0.65307,0.93862,0.57293,1.11226,0.00146566,0.00146566,0.00146566
63,969.546,0.77276,0.52295,1.09271,0.90127,0.85671,0.91267,0.66443,0.91784,0.58889,1.10715,0.00146236,0.00146236,0.00146236
64,984.743,0.76084,0.52465,1.10707,0.90066,0.83536,0.9112,0.67186,0.90477,0.58087,1.09188,0.00145906,0.00145906,0.00145906
65,1000.09,0.78472,0.53275,1.09847,0.91326,0.83933,0.91311,0.6601,0.92228,0.57808,1.09778,0.00145576,0.00145576,0.00145576
66,1015.4,0.77342,0.52136,1.10165,0.91856,0.86017,0.92607,0.66782,0.91325,0.55762,1.10356,0.00145246,0.00145246,0.00145246
67,1030.8,0.76286,0.51154,1.08383,0.92945,0.84581,0.92085,0.65554,0.9442,0.56618,1.11345,0.00144916,0.00144916,0.00144916
68,1046.07,0.75884,0.51017,1.10085,0.91687,0.84998,0.92473,0.65253,0.93762,0.5772,1.11336,0.00144586,0.00144586,0.00144586
69,1061.42,0.76403,0.52019,1.10038,0.88309,0.86602,0.92242,0.65159,0.93816,0.57501,1.11695,0.00144256,0.00144256,0.00144256
70,1076.52,0.77101,0.52339,1.10175,0.90979,0.86476,0.9205,0.65958,0.93213,0.5763,1.12113,0.00143925,0.00143925,0.00143925
71,1091.54,0.75037,0.5044,1.08669,0.90769,0.85819,0.91638,0.6646,0.91498,0.55355,1.09841,0.00143595,0.00143595,0.00143595
72,1106.71,0.75508,0.50908,1.09074,0.91135,0.87577,0.92588,0.67162,0.90407,0.54818,1.08706,0.00143265,0.00143265,0.00143265
73,1121.75,0.75448,0.50954,1.08643,0.91477,0.83401,0.91084,0.65833,0.91898,0.58502,1.11946,0.00142935,0.00142935,0.00142935
74,1137.15,0.7438,0.50379,1.08554,0.91093,0.86153,0.91385,0.65971,0.93838,0.55763,1.13107,0.00142605,0.00142605,0.00142605
75,1152.42,0.75087,0.50535,1.0926,0.90879,0.8524,0.91122,0.66084,0.91861,0.5666,1.10537,0.00142275,0.00142275,0.00142275
76,1167.78,0.743,0.50185,1.08273,0.90072,0.86109,0.91515,0.66818,0.93294,0.56765,1.11157,0.00141945,0.00141945,0.00141945
77,1183.24,0.73821,0.50484,1.08636,0.92922,0.85076,0.92523,0.66948,0.91418,0.54917,1.10118,0.00141615,0.00141615,0.00141615
78,1198.63,0.73761,0.49966,1.08545,0.90483,0.84671,0.92207,0.66594,0.91175,0.57195,1.09226,0.00141285,0.00141285,0.00141285
79,1213.89,0.74914,0.49589,1.08532,0.90761,0.85113,0.91418,0.65932,0.92826,0.55896,1.10671,0.00140955,0.00140955,0.00140955
80,1229.08,0.73546,0.49199,1.07833,0.94565,0.83469,0.91845,0.66079,0.92257,0.56068,1.12292,0.00140625,0.00140625,0.00140625
81,1244.48,0.74988,0.49831,1.0817,0.93118,0.85128,0.92671,0.67136,0.91959,0.5476,1.10439,0.00140295,0.00140295,0.00140295
82,1259.78,0.73062,0.48086,1.0695,0.91258,0.87274,0.91758,0.67196,0.90089,0.549,1.09627,0.00139965,0.00139965,0.00139965
83,1275.11,0.72842,0.48805,1.06883,0.90503,0.86344,0.92021,0.67441,0.90239,0.54827,1.10101,0.00139635,0.00139635,0.00139635
84,1290.43,0.73895,0.49458,1.07684,0.90972,0.86535,0.92269,0.66912,0.89164,0.54964,1.08221,0.00139305,0.00139305,0.00139305
85,1305.73,0.72619,0.48614,1.07256,0.92522,0.85103,0.92153,0.6662,0.9089,0.54096,1.08591,0.00138974,0.00138974,0.00138974
86,1321.05,0.72031,0.47872,1.06418,0.92199,0.85409,0.92633,0.67084,0.90318,0.52503,1.08056,0.00138644,0.00138644,0.00138644
87,1336.31,0.73181,0.48458,1.07276,0.91856,0.86106,0.93046,0.67299,0.90954,0.52776,1.07992,0.00138314,0.00138314,0.00138314
88,1351.59,0.71211,0.47487,1.06075,0.92657,0.87125,0.92289,0.66307,0.9352,0.55769,1.09637,0.00137984,0.00137984,0.00137984
89,1367.11,0.72023,0.48831,1.06306,0.90863,0.87266,0.92293,0.6724,0.89849,0.54333,1.09153,0.00137654,0.00137654,0.00137654
90,1382.33,0.72004,0.47225,1.06271,0.93215,0.837,0.91726,0.66357,0.90832,0.55848,1.10711,0.00137324,0.00137324,0.00137324
91,1397.64,0.72652,0.48309,1.06734,0.92183,0.87046,0.92033,0.67025,0.893,0.55442,1.08579,0.00136994,0.00136994,0.00136994
92,1413.09,0.70969,0.46907,1.06356,0.91098,0.86926,0.92082,0.67397,0.90401,0.55888,1.08883,0.00136664,0.00136664,0.00136664
93,1428.36,0.71374,0.47734,1.06306,0.93576,0.84827,0.92094,0.67428,0.92148,0.53199,1.09686,0.00136334,0.00136334,0.00136334
94,1443.7,0.71808,0.47623,1.05552,0.92331,0.83971,0.92147,0.66664,0.92139,0.5551,1.10332,0.00136004,0.00136004,0.00136004
95,1458.89,0.71273,0.47178,1.05694,0.91766,0.86772,0.92365,0.66911,0.90004,0.53395,1.09675,0.00135674,0.00135674,0.00135674
96,1474.22,0.71478,0.4723,1.05933,0.94102,0.84719,0.9217,0.66431,0.91467,0.54336,1.09481,0.00135344,0.00135344,0.00135344
97,1489.52,0.70873,0.46616,1.05392,0.91319,0.84879,0.92196,0.66359,0.91813,0.55189,1.10529,0.00135014,0.00135014,0.00135014
98,1504.9,0.70832,0.46447,1.06193,0.92187,0.85761,0.92823,0.66911,0.90746,0.52558,1.0933,0.00134684,0.00134684,0.00134684
99,1520.23,0.70863,0.46834,1.05703,0.88197,0.87323,0.91957,0.65916,0.91806,0.56546,1.09302,0.00134354,0.00134354,0.00134354
100,1535.55,0.70201,0.45632,1.04853,0.91382,0.86255,0.92259,0.66785,0.89741,0.52691,1.10858,0.00134023,0.00134023,0.00134023
101,1550.87,0.7039,0.45925,1.05239,0.92215,0.86335,0.9211,0.67146,0.89736,0.54673,1.0851,0.00133693,0.00133693,0.00133693
102,1566.1,0.70487,0.46155,1.04847,0.90667,0.87035,0.92286,0.68254,0.88179,0.52939,1.07388,0.00133363,0.00133363,0.00133363
103,1581.42,0.68446,0.45711,1.04721,0.91862,0.85113,0.9214,0.67368,0.88931,0.53839,1.08076,0.00133033,0.00133033,0.00133033
104,1596.73,0.68726,0.458,1.0514,0.92393,0.86669,0.92473,0.6689,0.90168,0.53438,1.0961,0.00132703,0.00132703,0.00132703
105,1612.11,0.70179,0.46061,1.05258,0.92836,0.85563,0.91594,0.66281,0.90716,0.53944,1.0928,0.00132373,0.00132373,0.00132373
106,1627.38,0.6937,0.45332,1.05044,0.90509,0.87569,0.92504,0.67401,0.90509,0.53646,1.07816,0.00132043,0.00132043,0.00132043
107,1642.66,0.69514,0.4537,1.04884,0.89862,0.87293,0.92251,0.67924,0.88658,0.53819,1.07709,0.00131713,0.00131713,0.00131713
108,1657.86,0.66904,0.4444,1.0371,0.90294,0.84293,0.91586,0.66377,0.90549,0.55551,1.08883,0.00131383,0.00131383,0.00131383
109,1673.13,0.68072,0.44982,1.03785,0.92193,0.86265,0.92277,0.67282,0.90662,0.55168,1.08818,0.00131053,0.00131053,0.00131053
110,1688.3,0.68587,0.45208,1.04163,0.93353,0.85813,0.92276,0.67157,0.9177,0.54549,1.09335,0.00130723,0.00130723,0.00130723
