epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,653.871,1.09059,0.76766,1.36992,0.88997,0.81828,0.8991,0.53788,1.30154,0.73591,1.4086,0.00153167,0.00153167,0.00153167
43,669.614,1.09904,0.77121,1.3708,0.89953,0.79988,0.88171,0.55463,1.22328,0.74225,1.36627,0.00152837,0.00152837,0.00152837
44,685.441,1.10322,0.78634,1.37305,0.88447,0.80756,0.88578,0.54147,1.29171,0.76606,1.45569,0.00152507,0.00152507,0.00152507
45,701.189,1.08143,0.76464,1.35557,0.88918,0.82054,0.89068,0.56239,1.18668,0.73428,1.33518,0.00152177,0.00152177,0.00152177
46,716.976,1.08527,0.75796,1.35232,0.92099,0.78834,0.88486,0.54305,1.30305,0.74926,1.41718,0.00151847,0.00151847,0.00151847
47,732.778,1.05945,0.75174,1.35045,0.8997,0.82021,0.89631,0.57517,1.15453,0.73172,1.31083,0.00151517,0.00151517,0.00151517
48,748.557,1.0794,0.75148,1.35136,0.91925,0.80708,0.89533,0.54848,1.29041,0.7436,1.43589,0.00151187,0.00151187,0.00151187
49,764.489,1.06455,0.74475,1.34285,0.89848,0.82342,0.88839,0.51782,1.36102,0.78165,1.49948,0.00150857,0.00150857,0.00150857
50,780.263,1.08131,0.74051,1.36383,0.88388,0.82049,0.87873,0.54475,1.26515,0.74133,1.40277,0.00150527,0.00150527,0.00150527
51,796.062,1.06183,0.7397,1.34215,0.86282,0.82075,0.88982,0.57333,1.22261,0.737,1.37641,0.00150197,0.00150197,0.00150197
52,811.963,1.08159,0.7418,1.34951,0.87215,0.83537,0.8818,0.52805,1.3136,0.76809,1.45806,0.00149867,0.00149867,0.00149867
53,827.779,1.06524,0.73741,1.34037,0.92247,0.80782,0.89852,0.55142,1.30648,0.73041,1.47023,0.00149537,0.00149537,0.00149537
54,843.488,1.05466,0.72051,1.33128,0.8836,0.84175,0.89807,0.54929,1.27327,0.7352,1.3705,0.00149207,0.00149207,0.00149207
55,859.24,1.0507,0.71767,1.32309,0.90414,0.8444,0.89795,0.55366,1.2581,0.72454,1.42295,0.00148876,0.00148876,0.00148876
56,875.117,1.04618,0.70271,1.32243,0.9037,0.83573,0.89887,0.58258,1.15704,0.71264,1.32037,0.00148546,0.00148546,0.00148546
57,891.053,1.05599,0.7192,1.33724,0.89658,0.84154,0.89858,0.57886,1.14364,0.72169,1.29654,0.00148216,0.00148216,0.00148216
58,906.773,1.05906,0.70952,1.33505,0.91609,0.82179,0.88619,0.59103,1.13104,0.68753,1.31501,0.00147886,0.00147886,0.00147886
