epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.3486,0.8353,0.61705,0.97448,0.8833,0.68049,0.74586,0.46895,1.05724,0.70042,1.07096,0.00144145,0.00144145,0.00144145
43,51.4128,0.83172,0.62768,0.97389,0.87864,0.64068,0.71791,0.4386,1.08911,0.76348,1.09386,0.00143595,0.00143595,0.00143595
44,52.4872,0.8444,0.61611,0.97618,0.87136,0.68826,0.7428,0.47045,1.0783,0.74638,1.09247,0.00143045,0.00143045,0.00143045
45,53.5749,0.829,0.59416,0.9692,0.82774,0.68704,0.72601,0.44941,1.12423,0.8398,1.11734,0.00142495,0.00142495,0.00142495
46,54.6293,0.81665,0.60148,0.97037,0.85292,0.66418,0.71167,0.44463,1.1403,0.78602,1.12559,0.00141945,0.00141945,0.00141945
47,55.6894,0.8232,0.59785,0.97177,0.9252,0.68079,0.75139,0.46135,1.12434,0.70098,1.12702,0.00141395,0.00141395,0.00141395
48,56.7329,0.80762,0.59707,0.96318,0.87185,0.70803,0.75448,0.47899,1.07652,0.69994,1.09154,0.00140845,0.00140845,0.00140845
49,57.7772,0.83523,0.62629,0.96626,0.87223,0.68096,0.74152,0.46731,1.07071,0.74721,1.07024,0.00140295,0.00140295,0.00140295
50,58.8366,0.8391,0.6336,0.98477,0.87041,0.68105,0.73737,0.47608,1.06321,0.74025,1.062,0.00139745,0.00139745,0.00139745
51,59.9196,0.81245,0.57722,0.96429,0.87049,0.67358,0.73444,0.47378,1.07933,0.76903,1.08358,0.00139195,0.00139195,0.00139195
52,60.9861,0.83119,0.58793,0.96728,0.8643,0.66735,0.73118,0.46354,1.15687,0.81201,1.12562,0.00138644,0.00138644,0.00138644
53,62.0633,0.83681,0.59413,0.97887,0.8727,0.71167,0.75303,0.47653,1.09567,0.72216,1.09201,0.00138094,0.00138094,0.00138094
54,63.1596,0.79961,0.56958,0.96069,0.90237,0.69637,0.75913,0.48067,1.06605,0.70646,1.08938,0.00137544,0.00137544,0.00137544
55,64.2809,0.77311,0.56173,0.95547,0.85262,0.70797,0.74597,0.48298,1.04119,0.70962,1.06679,0.00136994,0.00136994,0.00136994
56,65.3494,0.81766,0.58355,0.97363,0.87494,0.70181,0.75913,0.49501,1.03124,0.69593,1.05787,0.00136444,0.00136444,0.00136444
57,66.3935,0.79297,0.58136,0.95928,0.8644,0.68748,0.74291,0.4695,1.0589,0.72533,1.07731,0.00135894,0.00135894,0.00135894
58,67.4524,0.78102,0.55451,0.95201,0.90171,0.65193,0.75079,0.48016,1.04943,0.69636,1.07717,0.00135344,0.00135344,0.00135344
59,68.4803,0.7816,0.57031,0.95757,0.87071,0.66795,0.73654,0.47123,1.03325,0.79501,1.0864,0.00134794,0.00134794,0.00134794
60,69.5325,0.78625,0.55136,0.93699,0.90143,0.64518,0.7311,0.47632,1.05337,0.70622,1.11029,0.00134244,0.00134244,0.00134244
61,70.59,0.77317,0.54725,0.94444,0.86136,0.69529,0.7616,0.48756,1.03216,0.71056,1.07884,0.00133693,0.00133693,0.00133693
62,71.6543,0.77688,0.56139,0.95433,0.87896,0.71701,0.76448,0.4903,1.05396,0.65513,1.08187,0.00133143,0.00133143,0.00133143
63,72.7144,0.78873,0.55249,0.9521,0.8687,0.69712,0.75392,0.47406,1.06679,0.70216,1.07964,0.00132593,0.00132593,0.00132593
64,73.7777,0.79659,0.55631,0.96072,0.89231,0.66273,0.7332,0.47501,1.09435,0.76927,1.09008,0.00132043,0.00132043,0.00132043
65,74.8312,0.78776,0.53918,0.96098,0.85055,0.67232,0.73787,0.44813,1.13702,0.75906,1.11118,0.00131493,0.00131493,0.00131493
66,75.9093,0.76982,0.54754,0.95097,0.90479,0.67905,0.74988,0.48175,1.06469,0.71344,1.06945,0.00130943,0.00130943,0.00130943
67,76.9522,0.76549,0.54065,0.94866,0.84476,0.68809,0.74686,0.4702,1.10363,0.7276,1.08141,0.00130393,0.00130393,0.00130393
68,77.998,0.78918,0.54381,0.95021,0.8845,0.64074,0.73223,0.46125,1.0948,0.74283,1.10734,0.00129843,0.00129843,0.00129843
69,79.0446,0.75681,0.53233,0.93563,0.86437,0.67263,0.73449,0.45862,1.07499,0.73068,1.09199,0.00129293,0.00129293,0.00129293
70,80.0595,0.75581,0.52264,0.93416,0.89136,0.65888,0.73249,0.47726,1.06619,0.72528,1.08033,0.00128742,0.00128742,0.00128742
71,81.0671,0.75457,0.51876,0.93103,0.90438,0.6606,0.7488,0.48206,1.07223,0.6822,1.07625,0.00128192,0.00128192,0.00128192
72,82.09,0.73717,0.52178,0.93898,0.86586,0.68435,0.75491,0.48209,1.08538,0.67324,1.07621,0.00127642,0.00127642,0.00127642
73,83.1323,0.74683,0.51924,0.93056,0.83784,0.69855,0.74559,0.47903,1.06671,0.65217,1.07273,0.00127092,0.00127092,0.00127092
74,84.244,0.78366,0.52954,0.9517,0.85371,0.71317,0.74671,0.47512,1.0937,0.66939,1.08125,0.00126542,0.00126542,0.00126542
75,85.3368,0.75841,0.52266,0.93676,0.88383,0.71553,0.75924,0.49471,1.03236,0.63899,1.054,0.00125992,0.00125992,0.00125992
76,86.4098,0.73906,0.50157,0.94315,0.8832,0.72252,0.7674,0.49075,1.07567,0.63263,1.07077,0.00125442,0.00125442,0.00125442
77,87.4489,0.75035,0.51003,0.93457,0.90347,0.71431,0.76829,0.48814,1.03744,0.63956,1.06333,0.00124892,0.00124892,0.00124892
78,88.5299,0.72913,0.49301,0.93874,0.90204,0.68283,0.74882,0.49061,1.03992,0.64579,1.06569,0.00124342,0.00124342,0.00124342
79,89.5463,0.73355,0.50364,0.93511,0.90433,0.6681,0.759,0.48541,1.05856,0.6728,1.08051,0.00123791,0.00123791,0.00123791
80,90.5744,0.7146,0.506,0.93472,0.9107,0.67914,0.77718,0.49769,1.03967,0.65553,1.06396,0.00123241,0.00123241,0.00123241
81,91.6076,0.73538,0.50066,0.93308,0.92242,0.65202,0.75693,0.48084,1.08694,0.6784,1.10814,0.00122691,0.00122691,0.00122691
82,92.6474,0.74452,0.51015,0.93096,0.8784,0.70578,0.76437,0.47648,1.07726,0.67515,1.09525,0.00122141,0.00122141,0.00122141
83,93.758,0.71132,0.49738,0.92496,0.90156,0.70282,0.7719,0.48882,1.06955,0.66425,1.09904,0.00121591,0.00121591,0.00121591
84,94.8351,0.7201,0.49028,0.91959,0.88283,0.68835,0.74967,0.46829,1.06057,0.67616,1.07908,0.00121041,0.00121041,0.00121041
85,95.9289,0.74233,0.50637,0.93818,0.82709,0.70445,0.74414,0.48378,1.06788,0.65188,1.07499,0.00120491,0.00120491,0.00120491
86,97.0303,0.73316,0.49314,0.92688,0.85653,0.69984,0.7471,0.47929,1.04953,0.70925,1.06214,0.00119941,0.00119941,0.00119941
87,98.1831,0.72681,0.49224,0.93449,0.81885,0.70389,0.74637,0.48429,1.06015,0.63213,1.07615,0.00119391,0.00119391,0.00119391
88,99.227,0.74689,0.49764,0.94055,0.84594,0.71335,0.76205,0.49389,1.06415,0.65399,1.07574,0.0011884,0.0011884,0.0011884
89,100.275,0.72895,0.48964,0.93207,0.93225,0.69641,0.77204,0.50096,1.03124,0.61757,1.06829,0.0011829,0.0011829,0.0011829
90,101.498,0.71263,0.48744,0.92102,0.90807,0.69878,0.76391,0.50127,1.04014,0.61942,1.07343,0.0011774,0.0011774,0.0011774
91,102.586,0.74357,0.48915,0.94937,0.90467,0.68362,0.75268,0.49626,1.05997,0.66764,1.08764,0.0011719,0.0011719,0.0011719
92,103.678,0.71883,0.48901,0.93683,0.87675,0.71114,0.75771,0.48859,1.06865,0.6722,1.06799,0.0011664,0.0011664,0.0011664
93,104.716,0.70899,0.47696,0.92586,0.90697,0.66242,0.74619,0.48288,1.06489,0.72494,1.0816,0.0011609,0.0011609,0.0011609
94,105.754,0.73306,0.49768,0.93029,0.87747,0.6916,0.76228,0.49276,1.07163,0.70067,1.08121,0.0011554,0.0011554,0.0011554
95,106.809,0.69964,0.47218,0.92507,0.8844,0.69773,0.76473,0.49616,1.0578,0.71445,1.06331,0.0011499,0.0011499,0.0011499
96,107.901,0.69009,0.47729,0.92669,0.86152,0.69218,0.75786,0.48566,1.11693,0.74456,1.13049,0.0011444,0.0011444,0.0011444
97,108.979,0.69519,0.49383,0.9306,0.89608,0.71067,0.76827,0.48735,1.11857,0.70028,1.12232,0.00113889,0.00113889,0.00113889
